scraped_at,created_at,username,comment,likes
2025-12-10T14:28:01,2025-12-07T20:33:38,fchma344,Diem bahlul,0
2025-12-10T14:28:01,2025-12-07T20:32:46,rijonrn,"Presiden ini hanya tau berita2,kinerja bawahannya yang di bahas yang baik2,orang terdekatnya tidak mempublikasikan kinerja buruknya,jadi saling menjilat,lebih gongnya si bahlil di bilang pintarrrrr.",0
2025-12-10T14:28:01,2025-12-07T20:31:59,atomichex,"Buset dprd wkwk lebih ampas lagi, banyak org kek mafia. Apalagi dari daerah2 jauh pelosok",0
2025-12-10T14:28:01,2025-12-07T20:31:58,rindamor_28,Bner2 minta d pecat.. Ga ada empati samsek njir... Gua sebagai rakyat muak bgt,0
2025-12-10T14:28:01,2025-12-07T20:31:52,ciptaanggana21,Emang otaknya ga dipake 😂 gatau gada otaknya😂,0
2025-12-10T14:28:01,2025-12-07T20:30:56,_cant_00,Dih DPRD itu apa pak artinya,0
2025-12-10T14:28:01,2025-12-07T20:30:45,urgentlemen,Ini si ngentod maunya apasih,0
2025-12-10T14:28:01,2025-12-07T20:30:41,rudboys112,Bubarin aja pemerintahan Indonesia bisa gasi,0
2025-12-10T14:28:01,2025-12-07T20:30:20,asepamri,💩🐕,0
2025-12-10T14:28:01,2025-12-07T20:29:19,suryana3615,Amiin semoga Alloh ijabah sama rumah pejabat korup,0
2025-12-10T14:28:01,2025-12-07T20:27:31,juni_martin,tkut gk kepilih lg 😂😂,0
2025-12-10T14:28:01,2025-12-07T20:27:25,indo_papew,Masyarakat Indonesia omong doang gak ada aksi beraninya sosial media aja 😮,0
2025-12-10T14:28:01,2025-12-07T20:26:53,vitololleun,Emang ANJIIING SAMPAH GA BERGUNA ni orang satu!!! @bahlillahadalia @melangkahdaritimur.id @golkarpedia @golkar.indonesia,0
2025-12-10T14:28:01,2025-12-07T20:26:34,bhowwteah_,"Orang ini lagi bencana malah ngeluarin statement sampah astaghfirullah,, nyebut deh mendingan. Definisi takut sama rakyat tapi banyak polah dan tingkah hock cuih",0
2025-12-10T14:28:01,2025-12-07T20:26:34,om.james2320,Boleh begitu asal semua pajak di hapuskan karna tidak melibat kan rakyat. Emng gaji lohnya itu dari mana KLO bukakan dari pajak rakyat.,0
2025-12-10T14:28:01,2025-12-07T20:25:59,imamsofie22,"Gak perlu dipilih semuanya, tidak berpihak sama rakyat malah merampok haknya rakyat..",0
2025-12-10T14:28:01,2025-12-07T20:25:34,aaloy01,Kalo begitu Indonesia bukan negara demokratis lagi dong😂,0
2025-12-10T14:28:01,2025-12-07T20:23:57,scootian01,"Bacot Lo bahlul, mendingan Lo diem",0
2025-12-10T14:28:01,2025-12-07T20:23:49,mrherlambang__,Ko makin tholol ya,0
2025-12-10T14:28:01,2025-12-07T20:23:16,rizkysm_08,Piara an sapa sih ini supir angkot?,0
2025-12-10T14:28:01,2025-12-07T20:23:11,yoanes_bee,"Makin kesini kok makin gila' si Etiopia ini,... Siapa si yg milih dia jadi menteri....",0
2025-12-10T14:28:01,2025-12-07T20:22:38,puppetcry,Si setan kerja aja gk bisa berani2 melangkahi scoop area kerjanya...,0
2025-12-10T14:28:01,2025-12-07T20:21:57,budsuyyy,Ada yang punya panah celeng gak?,0
2025-12-10T14:28:01,2025-12-07T20:21:32,lovenia_ih,Yeeeehhhh🙄,0
2025-12-10T14:28:01,2025-12-07T20:19:30,pranataranda,Emang kontol,0
2025-12-10T14:28:01,2025-12-07T20:19:28,yokoabsalom,Pengalihan isu biar pejabat yg ikt merampas hutan aman.. luhut gmn mentrinya gmn,0
2025-12-10T14:28:01,2025-12-07T20:18:08,wahyubaybay,"ANJING..., kakinya 4",0
2025-12-10T14:28:01,2025-12-07T20:17:38,deris_hendry,kalah beki jauh ngawadul teh,0
2025-12-10T14:28:01,2025-12-07T20:16:49,ricky.alvian.10,"MEMANG BABI KAU BAHLIL, MULAI DARI SEKARANG JANGAN JANGAN BAYAR PAJAK",1
2025-12-10T14:28:01,2025-12-07T20:16:03,alfarezi1422,Gobl*kkk,0
2025-12-10T14:28:01,2025-12-07T20:15:52,rizkykhusuma1005,Bahlil Asu,0
2025-12-10T14:28:01,2025-12-07T20:15:35,aksalll5,okee gapapa asal kasih tay aja tempat nya nanti rakyat datang kesitu,0
2025-12-10T14:28:01,2025-12-07T20:15:34,urab_kelapa,Wujud aseli dakjal alias setan,0
2025-12-10T14:28:01,2025-12-07T20:15:08,wahyou2025,"Kebanyakan yang komen, pemilu nanti tidak perlu nyoblos anggota DPR kan pak Bahlil tau dan buat terobosan yang merusak politik",0
2025-12-10T14:28:01,2025-12-07T20:13:10,gus_dur._,@bahlillahadalia  ajng ni orng apa sih maunya,0
2025-12-10T14:28:01,2025-12-07T20:13:09,asiahhandianti,istifar lu bahlil bahlil muka lu noh samaa kaya kelakuan lu bahlil jelekkkkkkk,0
2025-12-10T14:28:01,2025-12-07T20:13:08,alifa_n_cika,"Takut rakyat banyak yg ga milih ya,,, 😂",0
2025-12-10T14:28:01,2025-12-07T20:11:46,triasworo72,DANCOX,0
2025-12-10T14:28:01,2025-12-07T20:11:00,lasabudafranky,Bangsat nih orng,0
